year,month,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,snowfall_sum,sunshine_duration,cloudcover_mean,location
2020,1,-3.2161290322580647,-8.62258064516129,-5.980645161290322,39.0,22.03548387096774,18.69,16586.626774193548,75.70967741935483,SNIEZNIK
2020,2,-1.5586206896551724,-5.962068965517242,-3.817241379310345,138.9,26.75172413793103,63.49,17388.67931034483,81.65517241379311,SNIEZNIK
2020,3,0.6354838709677421,-7.248387096774193,-3.0870967741935487,63.7,20.77741935483871,26.67,28507.35935483871,62.29032258064516,SNIEZNIK
2020,4,7.35,-2.4366666666666665,2.6766666666666667,23.9,16.49,0.8400000000000001,41739.30066666667,34.733333333333334,SNIEZNIK
2020,5,8.048387096774194,-0.32903225806451614,4.180645161290323,161.1,17.280645161290323,9.24,34157.87258064516,71.25806451612904,SNIEZNIK
2020,6,13.123333333333333,6.9,10.003333333333334,251.89999999999998,16.59,0.0,30509.152000000002,76.6,SNIEZNIK
2020,7,15.193548387096774,7.109677419354839,11.312903225806451,125.2,14.30967741935484,0.0,41655.838387096774,56.38709677419355,SNIEZNIK
2020,8,16.39032258064516,9.438709677419356,12.958064516129031,208.9,14.54516129032258,0.0,35809.698387096774,56.516129032258064,SNIEZNIK
2020,9,12.556666666666667,5.209999999999999,8.9,137.0,15.879999999999999,0.0,29546.06033333333,58.7,SNIEZNIK
2020,10,5.961290322580646,1.1032258064516127,3.3548387096774195,197.2,21.270967741935483,25.06,17333.294516129034,81.6774193548387,SNIEZNIK
2020,11,1.2733333333333334,-3.4466666666666668,-1.3133333333333332,46.2,19.38,10.569999999999999,14797.714,78.4,SNIEZNIK
2020,12,-2.4709677419354836,-6.274193548387097,-4.567741935483871,46.9,24.23225806451613,22.33,9075.964193548387,90.48387096774194,SNIEZNIK
2021,1,-5.525806451612904,-10.393548387096773,-7.787096774193548,83.9,17.129032258064516,55.02,9980.734838709679,88.45161290322581,SNIEZNIK
2021,2,-3.6785714285714284,-9.539285714285715,-6.789285714285714,74.9,19.07857142857143,38.36,15528.525,73.82142857142857,SNIEZNIK
2021,3,-0.7290322580645162,-8.819354838709678,-4.354838709677419,73.2,15.896774193548387,39.41,25305.322258064516,62.12903225806452,SNIEZNIK
2021,4,1.9866666666666668,-5.7733333333333325,-1.8833333333333333,90.2,17.483333333333334,48.09,27762.811666666665,69.9,SNIEZNIK
2021,5,7.9,0.7387096774193548,4.329032258064516,163.5,20.480645161290322,0.9099999999999999,34512.90935483871,69.0,SNIEZNIK
2021,6,16.153333333333332,8.023333333333333,12.353333333333333,88.8,12.57,0.0,45543.20166666667,52.63333333333333,SNIEZNIK
2021,7,16.861290322580647,9.051612903225807,13.106451612903227,116.39999999999999,13.570967741935483,0.0,42970.55064516129,60.806451612903224,SNIEZNIK
2021,8,13.683870967741935,7.029032258064516,10.270967741935483,212.2,14.922580645161291,0.0,32777.55258064516,70.41935483870968,SNIEZNIK
2021,9,11.956666666666667,5.113333333333333,8.523333333333333,69.9,14.120000000000001,0.0,32271.045666666665,60.833333333333336,SNIEZNIK
2021,10,6.019354838709678,-0.23225806451612907,2.5903225806451613,30.9,23.96129032258065,0.21,26589.50064516129,58.83870967741935,SNIEZNIK
2021,11,-0.11333333333333337,-4.06,-2.1766666666666667,74.3,21.273333333333333,26.25,11290.543666666666,92.5,SNIEZNIK
2021,12,-4.483870967741935,-9.435483870967742,-6.693548387096774,75.8,18.58709677419355,43.96,6311.774838709677,89.6774193548387,SNIEZNIK
2022,1,-4.348387096774194,-8.693548387096774,-6.351612903225806,80.5,20.796774193548387,44.17,10143.203870967742,86.61290322580645,SNIEZNIK
2022,2,-2.2285714285714286,-6.560714285714285,-4.425,101.6,25.63214285714286,48.93,19263.835714285717,78.39285714285714,SNIEZNIK
2022,3,-0.05806451612903215,-7.338709677419355,-3.9967741935483874,50.7,14.59032258064516,25.34,30456.750967741937,40.354838709677416,SNIEZNIK
2022,4,2.3633333333333337,-4.803333333333333,-1.2733333333333334,122.2,17.55666666666667,49.63,28029.39,75.5,SNIEZNIK
2022,5,11.712903225806452,2.806451612903226,7.706451612903226,76.2,15.058064516129033,0.0,40647.800322580646,63.16129032258065,SNIEZNIK
2022,6,16.17,7.483333333333333,12.07,121.2,15.426666666666668,0.0,40368.240666666665,59.333333333333336,SNIEZNIK
2022,7,16.383870967741938,7.641935483870968,12.261290322580646,131.5,14.612903225806452,0.0,40703.11064516129,60.193548387096776,SNIEZNIK
2022,8,16.77741935483871,9.203225806451613,12.87741935483871,244.9,13.338709677419354,0.0,33847.16580645161,65.80645161290323,SNIEZNIK
2022,9,9.413333333333332,2.743333333333333,5.95,90.0,13.843333333333334,0.07,25997.603,80.1,SNIEZNIK
2022,10,9.138709677419355,2.2193548387096773,5.380645161290323,40.7,19.89032258064516,0.0,24677.022258064517,75.38709677419355,SNIEZNIK
2022,11,1.1066666666666667,-3.8766666666666665,-1.4333333333333333,41.4,18.220000000000002,9.379999999999999,13072.861333333334,85.1,SNIEZNIK
2022,12,-4.490322580645161,-7.790322580645161,-6.174193548387097,81.3,20.70967741935484,43.89,7606.645483870968,96.74193548387096,SNIEZNIK
2023,1,-3.070967741935484,-6.548387096774194,-4.693548387096774,103.4,21.26451612903226,50.89,7652.863225806452,96.54838709677419,SNIEZNIK
2023,2,-3.4035714285714285,-8.4,-5.853571428571429,83.4,19.060714285714287,41.65,12420.191428571428,86.0,SNIEZNIK
