year,month,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,snowfall_sum,sunshine_duration,cloudcover_mean,location
2020,1,3.2806451612903227,-1.4774193548387096,0.5451612903225806,22.5,30.338709677419356,4.55,16414.449677419354,71.09677419354838,CHELMIEC
2020,2,5.548275862068966,0.8103448275862069,3.1413793103448273,85.0,33.54482758620689,16.8,20176.13,73.24137931034483,CHELMIEC
2020,3,7.364516129032259,-0.012903225806451568,3.5677419354838706,43.199999999999996,25.225806451612904,8.89,27194.315161290324,56.935483870967744,CHELMIEC
2020,4,13.966666666666667,3.6233333333333335,8.776666666666667,14.0,19.56,0.28,40049.319,35.233333333333334,CHELMIEC
2020,5,14.32258064516129,6.077419354838709,10.235483870967743,138.7,19.85483870967742,7.7,36447.72483870968,67.38709677419355,CHELMIEC
2020,6,18.913333333333334,12.373333333333333,15.666666666666666,221.7,18.686666666666667,0.0,31263.983333333334,72.96666666666667,CHELMIEC
2020,7,21.1,12.896774193548387,17.016129032258064,62.3,17.16774193548387,0.0,43395.48548387097,52.935483870967744,CHELMIEC
2020,8,22.46451612903226,14.86774193548387,18.69677419354839,117.0,16.76451612903226,0.0,35159.1264516129,57.03225806451613,CHELMIEC
2020,9,18.566666666666666,10.826666666666666,14.47,117.6,18.123333333333335,0.0,29630.033,60.2,CHELMIEC
2020,10,12.109677419354838,7.335483870967742,9.470967741935485,154.7,26.138709677419353,0.0,17488.71612903226,78.2258064516129,CHELMIEC
2020,11,6.883333333333334,2.713333333333333,4.466666666666667,32.7,25.80666666666667,6.369999999999999,17781.978,71.23333333333333,CHELMIEC
2020,12,3.635483870967742,-0.08709677419354839,1.6,23.299999999999997,28.63225806451613,6.72,13775.89258064516,80.80645161290323,CHELMIEC
2021,1,0.2516129032258065,-3.725806451612903,-1.8064516129032258,67.7,22.79032258064516,39.9,10222.236451612904,87.74193548387096,CHELMIEC
2021,2,1.9642857142857142,-3.882142857142857,-1.1642857142857144,48.8,25.00357142857143,24.99,16213.841071428571,73.14285714285714,CHELMIEC
2021,3,6.525806451612904,-0.8612903225806451,2.661290322580645,56.2,20.825806451612905,26.81,27379.933225806453,58.54838709677419,CHELMIEC
2021,4,8.636666666666667,1.1933333333333331,4.7,60.300000000000004,21.63,26.46,29679.302333333333,66.66666666666667,CHELMIEC
2021,5,13.96774193548387,6.77741935483871,10.270967741935483,121.2,24.929032258064513,0.0,36278.4435483871,64.2258064516129,CHELMIEC
2021,6,22.36,13.946666666666665,18.34333333333333,100.10000000000001,14.889999999999999,0.0,44714.380666666664,52.13333333333333,CHELMIEC
2021,7,22.503225806451614,14.796774193548387,18.664516129032258,73.7,16.63225806451613,0.0,43386.152903225804,58.225806451612904,CHELMIEC
2021,8,19.62258064516129,12.69032258064516,16.016129032258064,191.7,17.561290322580643,0.0,35572.51806451613,67.25806451612904,CHELMIEC
2021,9,18.18,11.116666666666667,14.486666666666668,62.3,17.9,0.0,33209.19233333333,59.63333333333333,CHELMIEC
2021,10,12.548387096774194,6.003225806451613,8.803225806451612,27.2,27.264516129032256,0.07,27898.640967741936,56.806451612903224,CHELMIEC
2021,11,6.153333333333333,1.98,3.993333333333333,49.4,25.240000000000002,11.97,12300.829,85.46666666666667,CHELMIEC
2021,12,1.8741935483870966,-2.738709677419355,-0.4258064516129032,58.900000000000006,23.793548387096774,24.08,7472.258387096775,85.48387096774194,CHELMIEC
2022,1,2.1870967741935483,-1.903225806451613,0.25161290322580643,44.8,27.093548387096774,20.09,11275.243225806451,83.61290322580645,CHELMIEC
2022,2,4.896428571428571,-0.17499999999999996,2.2464285714285714,81.3,33.29642857142857,22.68,21285.46142857143,74.14285714285714,CHELMIEC
2022,3,7.703225806451614,-1.0290322580645161,3.029032258064516,35.1,17.219354838709677,12.95,31155.81612903226,36.12903225806452,CHELMIEC
2022,4,9.476666666666667,1.8666666666666667,5.666666666666667,83.2,22.009999999999998,18.48,28846.016666666666,72.3,CHELMIEC
2022,5,17.70967741935484,8.85483870967742,13.52258064516129,42.4,17.903225806451612,0.0,42597.84935483871,60.774193548387096,CHELMIEC
2022,6,22.566666666666666,13.323333333333332,18.153333333333332,73.9,18.290000000000003,0.0,43225.926,55.46666666666667,CHELMIEC
2022,7,23.016129032258064,13.951612903225806,18.561290322580643,81.7,19.103225806451615,0.0,42191.96064516129,56.58064516129032,CHELMIEC
2022,8,22.92258064516129,15.070967741935483,18.838709677419356,180.3,16.087096774193547,0.0,34558.43032258065,62.38709677419355,CHELMIEC
2022,9,15.443333333333333,8.596666666666666,11.793333333333333,88.3,17.56,0.07,30296.096333333335,70.1,CHELMIEC
2022,10,15.17741935483871,8.287096774193548,11.30967741935484,37.6,26.200000000000003,0.0,27075.99806451613,65.35483870967742,CHELMIEC
2022,11,7.02,2.1633333333333336,4.326666666666667,41.5,22.756666666666668,5.04,15635.842666666667,77.06666666666666,CHELMIEC
2022,12,1.8193548387096774,-2.1225806451612903,-0.18064516129032257,53.8,25.24516129032258,25.62,9848.075483870967,92.74193548387096,CHELMIEC
2023,1,3.454838709677419,-0.2709677419354839,1.6709677419354838,59.6,26.687096774193552,26.53,9186.321935483871,90.54838709677419,CHELMIEC
2023,2,3.4892857142857143,-2.414285714285714,0.525,75.0,24.764285714285712,21.28,15192.750714285716,82.96428571428571,CHELMIEC
2023,3,8.003225806451614,0.8387096774193549,4.109677419354839,57.800000000000004,26.693548387096776,15.819999999999999,22600.931612903227,80.16129032258064,CHELMIEC
