year,month,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,snowfall_sum,sunshine_duration,cloudcover_mean,location
2020,1,-0.47419354838709676,-5.54516129032258,-3.0548387096774197,32.0,21.92258064516129,14.21,15975.491612903226,73.12903225806451,KOWADLO
2020,2,1.489655172413793,-2.972413793103448,-0.8,131.3,27.74137931034483,50.68,16792.336896551726,79.03448275862068,KOWADLO
2020,3,3.661290322580645,-3.603225806451613,0.07096774193548393,53.9,21.580645161290324,20.16,27205.72064516129,60.54838709677419,KOWADLO
2020,4,10.16,1.0,5.703333333333333,19.2,16.61,0.98,41405.98966666667,34.36666666666667,KOWADLO
2020,5,10.751612903225807,2.925806451612903,6.974193548387096,158.4,16.98709677419355,7.07,33591.07193548387,70.25806451612904,KOWADLO
2020,6,15.83,9.43,12.639999999999999,254.89999999999998,16.333333333333332,0.0,30048.339666666663,75.46666666666667,KOWADLO
2020,7,17.82903225806452,9.990322580645161,14.048387096774194,112.5,14.425806451612903,0.0,41459.47516129032,54.903225806451616,KOWADLO
2020,8,19.067741935483873,12.009677419354839,15.551612903225807,191.5,14.558064516129033,0.0,35430.02032258064,55.354838709677416,KOWADLO
2020,9,15.16,8.316666666666666,11.656666666666666,138.5,15.393333333333334,0.0,29414.955333333335,58.9,KOWADLO
2020,10,8.658064516129032,3.9612903225806453,6.15483870967742,183.5,21.29032258064516,5.39,17427.43806451613,79.70967741935483,KOWADLO
2020,11,3.9233333333333333,-0.6199999999999999,1.3766666666666665,44.900000000000006,18.863333333333333,10.01,13989.081,76.03333333333333,KOWADLO
2020,12,0.20322580645161292,-3.564516129032258,-1.8580645161290323,35.5,23.403225806451612,14.14,8990.634838709677,90.09677419354838,KOWADLO
2021,1,-2.806451612903226,-7.554838709677419,-5.083870967741936,83.2,17.574193548387097,52.5,9563.783870967742,86.87096774193549,KOWADLO
2021,2,-1.0535714285714286,-7.1000000000000005,-4.253571428571429,68.4,18.842857142857145,32.269999999999996,15044.2475,74.07142857142857,KOWADLO
2021,3,2.4612903225806453,-5.541935483870968,-1.3838709677419354,69.1,16.13225806451613,36.68,25032.027741935482,61.225806451612904,KOWADLO
2021,4,4.886666666666667,-2.1233333333333335,1.2366666666666668,84.60000000000001,18.33,46.339999999999996,27793.409333333333,68.83333333333333,KOWADLO
2021,5,10.525806451612903,3.735483870967742,7.119354838709677,165.1,21.219354838709677,0.77,34471.472903225804,67.2258064516129,KOWADLO
2021,6,18.77,10.976666666666667,15.15,82.4,12.583333333333334,0.0,44785.03333333333,52.53333333333333,KOWADLO
2021,7,19.403225806451612,11.993548387096775,15.751612903225807,101.5,13.506451612903225,0.0,41869.848387096776,60.096774193548384,KOWADLO
2021,8,16.34193548387097,9.706451612903225,12.961290322580645,210.6,15.2,0.0,32307.751935483873,69.09677419354838,KOWADLO
2021,9,14.573333333333332,8.183333333333334,11.253333333333334,66.6,14.356666666666666,0.0,31403.998333333333,60.166666666666664,KOWADLO
2021,10,8.77741935483871,2.8806451612903223,5.451612903225806,36.2,24.416129032258063,0.9099999999999999,26219.39709677419,56.774193548387096,KOWADLO
2021,11,2.5266666666666664,-1.35,0.51,61.9,20.9,20.86,10622.416,91.2,KOWADLO
2021,12,-1.729032258064516,-6.993548387096775,-4.083870967741936,65.4,18.325806451612905,34.93,5662.283870967743,88.54838709677419,KOWADLO
2022,1,-1.4967741935483871,-5.838709677419355,-3.487096774193548,70.0,21.16774193548387,35.56,9601.21806451613,85.80645161290323,KOWADLO
2022,2,0.6357142857142858,-3.8214285714285716,-1.625,94.6,26.564285714285713,43.19,18289.862857142856,76.10714285714286,KOWADLO
2022,3,3.0677419354838706,-4.983870967741935,-1.3290322580645162,53.3,14.077419354838709,24.85,30383.51516129032,38.935483870967744,KOWADLO
2022,4,5.433333333333334,-1.7833333333333334,1.8566666666666667,112.3,18.490000000000002,41.93,27717.855,74.4,KOWADLO
2022,5,14.412903225806453,5.854838709677419,10.48709677419355,68.2,15.72258064516129,0.0,40782.92838709678,61.45161290322581,KOWADLO
2022,6,18.886666666666667,10.296666666666665,14.753333333333334,102.4,15.493333333333334,0.0,39799.58466666667,59.4,KOWADLO
2022,7,19.07741935483871,10.745161290322581,15.064516129032258,103.9,15.19032258064516,0.0,40393.379677419354,58.806451612903224,KOWADLO
2022,8,19.529032258064515,12.141935483870967,15.658064516129032,274.8,12.703225806451613,0.0,33042.08967741935,64.58064516129032,KOWADLO
2022,9,12.030000000000001,5.743333333333334,8.733333333333333,97.8,14.49,0.14,25287.678333333333,76.0,KOWADLO
2022,10,11.912903225806453,5.151612903225806,8.22258064516129,38.0,20.096774193548388,0.0,24883.28419354839,71.16129032258064,KOWADLO
2022,11,3.7733333333333334,-1.1566666666666667,1.32,35.2,17.779999999999998,7.349999999999999,12647.438333333332,82.86666666666666,KOWADLO
2022,12,-1.6419354838709677,-5.151612903225806,-3.4,84.0,20.358064516129033,42.0,6790.856129032259,95.74193548387096,KOWADLO
2023,1,-0.19032258064516125,-3.6774193548387095,-1.8064516129032258,90.2,21.62258064516129,34.65,6832.132903225806,94.6774193548387,KOWADLO
2023,2,-0.7321428571428571,-6.007142857142857,-3.2535714285714286,70.6,19.560714285714287,33.04,12127.511071428571,84.78571428571429,KOWADLO
2023,3,3.9612903225806453,-3.083870967741935,0.2967741935483871,69.9,21.85483870967742,21.63,21942.49677419355,81.03225806451613,KOWADLO
