year,month,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,snowfall_sum,sunshine_duration,cloudcover_mean,location
2020,1,-1.2161290322580647,-8.441935483870967,-5.390322580645161,29.0,15.741935483870968,13.370000000000001,18106.879032258064,68.16129032258064,RADZIEJOWA
2020,2,0.5172413793103449,-6.6000000000000005,-3.1758620689655177,102.9,20.93793103448276,48.44,17371.490344827584,70.55172413793103,RADZIEJOWA
2020,3,3.164516129032258,-5.290322580645161,-1.3548387096774193,40.0,16.874193548387098,17.71,27025.225806451614,55.064516129032256,RADZIEJOWA
2020,4,9.383333333333333,-1.8633333333333333,3.683333333333333,21.9,14.846666666666666,1.26,41292.515999999996,38.86666666666667,RADZIEJOWA
2020,5,9.36774193548387,1.2548387096774194,5.338709677419355,165.5,18.129032258064516,3.01,32118.60064516129,70.09677419354838,RADZIEJOWA
2020,6,15.506666666666666,8.433333333333334,11.733333333333333,194.4,15.743333333333334,0.0,33154.473333333335,73.6,RADZIEJOWA
2020,7,16.90967741935484,8.606451612903227,12.819354838709677,132.6,13.412903225806453,0.0,41254.69258064516,62.25806451612903,RADZIEJOWA
2020,8,18.845161290322583,10.361290322580645,14.458064516129031,85.9,13.603225806451613,0.0,38181.38903225806,54.483870967741936,RADZIEJOWA
2020,9,14.743333333333334,5.92,10.173333333333334,121.9,13.396666666666667,0.0,30966.403,58.43333333333333,RADZIEJOWA
2020,10,8.0,1.9096774193548387,4.641935483870968,150.0,16.812903225806455,0.63,20160.972903225807,78.51612903225806,RADZIEJOWA
2020,11,2.8033333333333332,-3.756666666666667,-0.9766666666666667,37.5,12.173333333333334,7.140000000000001,19721.236666666668,69.56666666666666,RADZIEJOWA
2020,12,-1.267741935483871,-5.609677419354839,-3.6774193548387095,50.6,17.203225806451613,10.15,14738.13129032258,77.80645161290323,RADZIEJOWA
2021,1,-4.003225806451613,-10.03225806451613,-6.825806451612903,73.6,15.95483870967742,49.35,14612.518709677419,79.80645161290323,RADZIEJOWA
2021,2,-1.4142857142857144,-9.87142857142857,-6.110714285714286,69.8,15.914285714285715,36.89,17374.84,73.60714285714286,RADZIEJOWA
2021,3,1.238709677419355,-6.45483870967742,-2.8548387096774195,65.3,15.80967741935484,33.39,25239.81935483871,66.16129032258064,RADZIEJOWA
2021,4,4.1866666666666665,-3.94,-0.06666666666666664,98.3,16.88,47.81,28871.65166666667,66.33333333333333,RADZIEJOWA
2021,5,10.90967741935484,1.738709677419355,6.351612903225806,143.70000000000002,18.57741935483871,0.07,35098.83,66.7741935483871,RADZIEJOWA
2021,6,17.716666666666665,8.28,13.196666666666665,85.8,13.54,0.0,48679.927,49.2,RADZIEJOWA
2021,7,19.516129032258064,11.754838709677419,15.396774193548387,137.7,13.73225806451613,0.0,40430.0664516129,59.903225806451616,RADZIEJOWA
2021,8,15.44516129032258,7.790322580645161,11.609677419354838,260.40000000000003,13.009677419354839,0.0,32741.67580645161,64.0,RADZIEJOWA
2021,9,12.493333333333334,4.676666666666667,8.486666666666666,100.1,13.67,0.0,30285.320333333333,59.333333333333336,RADZIEJOWA
2021,10,7.816129032258065,-0.34193548387096767,3.235483870967742,15.5,15.929032258064517,0.0,28703.152258064514,50.483870967741936,RADZIEJOWA
2021,11,2.7733333333333334,-3.52,-0.6566666666666666,46.5,15.746666666666666,7.91,16663.459,71.36666666666666,RADZIEJOWA
2021,12,-3.8258064516129036,-9.796774193548387,-6.648387096774194,67.7,16.39677419354839,39.41,8743.194838709676,90.96774193548387,RADZIEJOWA
2022,1,-3.225806451612903,-8.758064516129032,-6.087096774193548,87.89999999999999,19.03548387096774,46.48,11716.55741935484,82.6774193548387,RADZIEJOWA
2022,2,-0.1464285714285715,-7.221428571428571,-3.7857142857142856,49.5,20.29642857142857,27.65,21641.002142857145,73.21428571428571,RADZIEJOWA
2022,3,1.8387096774193548,-7.280645161290323,-3.0806451612903225,51.3,13.27741935483871,23.45,28657.46709677419,45.193548387096776,RADZIEJOWA
2022,4,4.746666666666667,-3.4066666666666667,0.5333333333333333,106.4,15.976666666666667,28.28,27392.528666666665,76.16666666666667,RADZIEJOWA
2022,5,13.600000000000001,3.564516129032258,8.719354838709679,55.7,14.274193548387096,0.0,43310.43,61.806451612903224,RADZIEJOWA
2022,6,18.663333333333334,8.610000000000001,13.593333333333334,54.0,14.8,0.0,47520.91066666667,50.6,RADZIEJOWA
2022,7,18.080645161290324,9.161290322580646,13.570967741935483,136.0,15.16451612903226,0.0,41813.743870967744,60.064516129032256,RADZIEJOWA
2022,8,18.845161290322583,10.329032258064515,14.27741935483871,73.60000000000001,12.819354838709677,0.0,38183.00967741936,63.54838709677419,RADZIEJOWA
2022,9,11.04,3.753333333333333,7.156666666666666,109.5,14.46,0.07,28447.962666666666,79.9,RADZIEJOWA
2022,10,11.09032258064516,2.3419354838709676,6.125806451612903,49.2,14.174193548387098,0.0,28922.424838709678,63.41935483870968,RADZIEJOWA
2022,11,2.85,-3.9466666666666668,-0.8599999999999999,60.9,12.433333333333334,10.850000000000001,17094.684333333335,76.2,RADZIEJOWA
2022,12,-2.196774193548387,-7.712903225806452,-5.0,74.2,15.880645161290323,35.77,13243.44064516129,87.70967741935483,RADZIEJOWA
2023,1,-1.6870967741935485,-5.590322580645162,-3.6741935483870964,118.2,16.232258064516127,66.29,8745.723548387097,92.70967741935483,RADZIEJOWA
2023,2,-1.8107142857142857,-9.078571428571427,-5.496428571428572,89.2,17.3,43.68,15601.889642857144,83.35714285714286,RADZIEJOWA
2023,3,4.109677419354839,-5.199999999999999,-0.8999999999999999,66.6,18.674193548387095,21.91,27681.677096774194,75.51612903225806,RADZIEJOWA
2023,4,5.1,-2.4166666666666665,1.2566666666666668,106.6,16.306666666666665,17.99,23481.959333333336,84.03333333333333,RADZIEJOWA
2023,5,11.345161290322581,2.5032258064516126,6.961290322580646,110.9,14.935483870967742,0.0,34322.25129032258,68.83870967741936,RADZIEJOWA
2023,6,15.276666666666667,6.77,11.270000000000001,153.9,13.386666666666667,0.0,37107.445,65.7,RADZIEJOWA
2023,7,18.81935483870968,9.538709677419355,14.193548387096774,116.69999999999999,14.961290322580645,0.0,43425.71290322581,56.96774193548387,RADZIEJOWA
2023,8,19.67096774193548,10.709677419354838,14.948387096774193,124.6,12.864516129032259,0.0,37617.89387096774,57.516129032258064,RADZIEJOWA
2023,9,17.02,8.063333333333334,12.266666666666667,91.7,14.103333333333333,0.0,33545.76866666667,46.7,RADZIEJOWA
2023,10,10.76774193548387,2.7838709677419353,6.564516129032258,74.0,17.77741935483871,0.77,23661.757741935482,72.70967741935483,RADZIEJOWA
2023,11,1.2199999999999998,-4.326666666666667,-1.6033333333333333,99.8,19.926666666666666,21.28,13434.660333333333,74.93333333333334,RADZIEJOWA
2023,12,-1.538709677419355,-7.858064516129032,-4.741935483870968,63.6,17.219354838709677,36.54,12283.061935483871,85.38709677419355,RADZIEJOWA
2024,1,-2.7483870967741937,-9.464516129032257,-6.170967741935484,103.39999999999999,18.961290322580645,47.95,14071.22,75.80645161290323,RADZIEJOWA
2024,2,4.1000000000000005,-2.0586206896551724,0.6758620689655173,57.5,19.389655172413793,6.79,16105.449999999999,85.55172413793103,RADZIEJOWA
2024,3,5.616129032258065,-2.096774193548387,1.3903225806451613,57.3,17.780645161290323,11.620000000000001,25038.34419354839,73.41935483870968,RADZIEJOWA
2024,4,10.083333333333334,1.0833333333333333,5.306666666666667,92.0,17.35666666666667,14.7,30719.001666666667,74.4,RADZIEJOWA
2024,5,14.654838709677419,4.987096774193549,9.832258064516129,80.7,13.96774193548387,0.0,43481.65225806452,54.903225806451616,RADZIEJOWA
2024,6,17.490000000000002,8.9,13.196666666666665,118.3,13.79,0.0,41482.479666666666,64.6,RADZIEJOWA
2024,7,20.029032258064515,10.96774193548387,15.432258064516128,113.3,13.51290322580645,0.0,43866.5864516129,58.354838709677416,RADZIEJOWA
2024,8,20.1,10.748387096774193,15.280645161290321,67.1,12.212903225806452,0.0,38239.216451612905,55.774193548387096,RADZIEJOWA
2024,9,15.743333333333334,7.35,11.2,95.9,15.746666666666668,0.0,29580.064666666665,60.3,RADZIEJOWA
2024,10,8.903225806451612,1.461290322580645,4.612903225806452,52.7,15.406451612903227,0.21,23677.735161290322,58.903225806451616,RADZIEJOWA
2024,11,1.1066666666666667,-5.863333333333333,-2.8433333333333333,26.1,13.753333333333334,10.57,15733.392,72.66666666666667,RADZIEJOWA
2024,12,-1.8064516129032258,-6.612903225806452,-4.567741935483871,66.7,14.225806451612904,28.560000000000002,10720.458709677418,78.35483870967742,RADZIEJOWA
