year,month,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,snowfall_sum,sunshine_duration,cloudcover_mean,location
2020,1,1.7548387096774196,-3.170967741935484,-0.7967741935483871,36.5,18.335483870967742,13.65,12307.780322580646,79.93548387096774,JAGODNA
2020,2,4.717241379310345,-0.4965517241379311,2.168965517241379,143.1,24.696551724137933,37.8,13941.28275862069,82.44827586206897,JAGODNA
2020,3,6.893548387096774,-0.7870967741935485,3.0161290322580645,57.699999999999996,21.570967741935487,13.79,27592.98129032258,60.483870967741936,JAGODNA
2020,4,13.41,2.3466666666666667,8.076666666666666,14.5,15.9,0.7,40859.28533333333,34.333333333333336,JAGODNA
2020,5,14.19032258064516,5.261290322580645,10.03225806451613,113.89999999999999,18.593548387096774,4.199999999999999,36288.35870967742,66.90322580645162,JAGODNA
2020,6,18.883333333333333,11.889999999999999,15.473333333333333,213.8,17.973333333333336,0.0,32534.606333333333,73.83333333333333,JAGODNA
2020,7,20.874193548387098,12.074193548387097,16.538709677419355,90.3,15.138709677419355,0.0,41396.017096774194,54.32258064516129,JAGODNA
2020,8,22.103225806451615,13.925806451612903,18.029032258064515,163.9,15.448387096774193,0.0,35850.62419354839,55.74193548387097,JAGODNA
2020,9,18.043333333333333,10.09,13.946666666666665,111.5,15.806666666666667,0.0,30100.115666666665,57.43333333333333,JAGODNA
2020,10,11.312903225806451,6.306451612903226,8.63225806451613,148.7,20.10967741935484,0.84,13910.15806451613,84.61290322580645,JAGODNA
2020,11,5.996666666666667,1.5433333333333332,3.506666666666667,34.4,16.603333333333335,4.41,12426.014333333333,81.96666666666667,JAGODNA
2020,12,2.5161290322580645,-0.667741935483871,0.7419354838709677,36.3,21.6,7.21,6609.238709677419,91.41935483870968,JAGODNA
2021,1,-0.18709677419354837,-5.216129032258064,-2.358064516129032,86.6,16.580645161290324,54.879999999999995,7683.764838709677,89.83870967741936,JAGODNA
2021,2,1.1928571428571428,-5.560714285714286,-2.3249999999999997,72.1,17.810714285714287,30.8,13686.425000000001,73.82142857142857,JAGODNA
2021,3,5.741935483870968,-2.570967741935484,1.6612903225806452,54.5,17.141935483870967,23.87,26066.16,61.903225806451616,JAGODNA
2021,4,8.343333333333334,0.3366666666666667,4.183333333333334,54.4,18.636666666666667,25.689999999999998,29508.331666666665,68.7,JAGODNA
2021,5,13.619354838709677,5.699999999999999,9.706451612903225,126.10000000000001,21.038709677419355,0.0,34572.765483870964,69.0,JAGODNA
2021,6,22.096666666666668,12.729999999999999,17.68,78.9,13.403333333333334,0.0,45682.276,52.233333333333334,JAGODNA
2021,7,22.316129032258065,14.158064516129032,18.23548387096774,107.9,14.52258064516129,0.0,41894.53064516129,60.32258064516129,JAGODNA
2021,8,19.261290322580646,11.941935483870967,15.5,171.4,15.393548387096773,0.0,31816.295806451613,69.70967741935483,JAGODNA
2021,9,17.81,10.053333333333335,13.879999999999999,39.1,13.883333333333333,0.0,32412.588666666667,59.53333333333333,JAGODNA
