year,month,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,snowfall_sum,sunshine_duration,cloudcover_mean,location
2020,1,3.8,-2.2709677419354835,0.3032258064516129,35.9,18.567741935483873,15.610000000000001,17007.73064516129,66.70967741935483,TURBACZ
2020,2,5.120689655172414,-1.4517241379310344,1.9000000000000001,124.9,22.620689655172413,52.85,16085.95172413793,73.41379310344827,TURBACZ
2020,3,7.648387096774194,-0.9290322580645162,3.2,38.5,18.26451612903226,17.29,27303.195483870964,53.29032258064516,TURBACZ
2020,4,13.69,1.8833333333333333,7.723333333333333,22.1,15.29,0.98,42173.63333333333,35.6,TURBACZ
2020,5,13.587096774193547,4.803225806451613,9.209677419354838,159.9,17.067741935483873,4.48,29688.14612903226,69.96774193548387,TURBACZ
2020,6,19.866666666666667,12.183333333333334,15.863333333333333,176.6,15.713333333333333,0.0,30444.778,74.66666666666667,TURBACZ
2020,7,21.225806451612904,12.254838709677419,16.91290322580645,107.5,13.77741935483871,0.0,41758.67870967742,61.96774193548387,TURBACZ
2020,8,23.151612903225807,13.62258064516129,18.451612903225808,73.0,13.932258064516128,0.0,38275.69096774193,56.354838709677416,TURBACZ
2020,9,19.226666666666667,9.323333333333332,14.04,114.8,13.629999999999999,0.0,30162.700333333334,60.2,TURBACZ
2020,10,12.7,5.816129032258065,9.038709677419355,131.79999999999998,17.07741935483871,9.87,19405.67129032258,75.54838709677419,TURBACZ
2020,11,7.453333333333333,1.0233333333333332,3.8400000000000003,40.7,13.293333333333333,6.93,18467.121333333333,68.93333333333334,TURBACZ
2020,12,3.9483870967741934,-2.0161290322580645,0.6548387096774194,31.6,14.26774193548387,4.13,13260.63870967742,74.16129032258064,TURBACZ
2021,1,0.5387096774193547,-4.861290322580645,-2.0129032258064514,70.4,15.932258064516128,46.76,12536.220967741934,81.0,TURBACZ
2021,2,3.225,-5.328571428571428,-1.2464285714285717,64.8,15.62142857142857,32.13,15237.576428571429,71.28571428571429,TURBACZ
2021,3,5.812903225806451,-2.170967741935484,1.5806451612903225,68.9,16.506451612903227,36.12,25527.631612903224,65.03225806451613,TURBACZ
2021,4,8.506666666666666,0.26333333333333325,4.283333333333333,98.3,17.246666666666666,47.6,28989.09433333333,66.53333333333333,TURBACZ
2021,5,15.187096774193549,5.970967741935484,10.464516129032257,142.9,17.583870967741937,0.63,33936.06419354839,67.51612903225806,TURBACZ
2021,6,22.19333333333333,11.416666666666666,17.15,66.2,13.66,0.0,47713.496666666666,48.93333333333333,TURBACZ
2021,7,23.706451612903226,15.006451612903225,19.325806451612905,125.4,12.783870967741937,0.0,39833.28548387097,60.16129032258065,TURBACZ
2021,8,19.674193548387095,11.780645161290321,15.654838709677419,242.2,14.387096774193548,0.0,31811.921935483868,65.51612903225806,TURBACZ
2021,9,17.153333333333332,8.72,12.703333333333335,111.6,13.656666666666666,0.0,29436.721666666668,58.93333333333333,TURBACZ
2021,10,12.77741935483871,3.903225806451613,7.838709677419355,27.9,16.232258064516127,0.0,28350.92935483871,51.806451612903224,TURBACZ
2021,11,7.403333333333333,1.19,3.8733333333333335,51.7,15.166666666666666,6.51,16932.173333333332,73.63333333333334,TURBACZ
2021,12,1.0290322580645161,-5.422580645161291,-1.8548387096774193,65.0,15.832258064516129,37.17,8360.324838709677,89.29032258064517,TURBACZ
2022,1,0.967741935483871,-4.367741935483871,-1.6096774193548387,106.4,19.635483870967743,50.26,9205.583548387098,85.06451612903226,TURBACZ
2022,2,4.075,-2.4499999999999997,0.8535714285714285,87.5,22.107142857142858,46.339999999999996,17342.85785714286,74.32142857142857,TURBACZ
2022,3,6.922580645161291,-2.7193548387096773,1.6419354838709677,37.9,13.538709677419355,14.0,30212.22935483871,42.12903225806452,TURBACZ
2022,4,9.036666666666667,0.49,4.8566666666666665,87.2,17.013333333333332,28.419999999999998,25834.546333333335,74.26666666666667,TURBACZ
2022,5,17.77741935483871,7.138709677419354,12.593548387096773,55.5,14.925806451612903,0.0,41211.054193548385,61.03225806451613,TURBACZ
2022,6,22.783333333333335,12.01,17.38,107.0,13.95,0.0,46099.492333333335,54.06666666666667,TURBACZ
2022,7,22.09032258064516,12.438709677419356,17.351612903225806,113.8,14.806451612903226,0.0,39611.955483870974,59.774193548387096,TURBACZ
2022,8,23.24516129032258,13.812903225806451,18.41290322580645,104.9,12.51290322580645,0.0,37753.440322580645,60.41935483870968,TURBACZ
2022,9,15.063333333333333,7.923333333333333,11.336666666666668,124.2,13.7,0.35,24187.198666666667,77.76666666666667,TURBACZ
2022,10,15.66451612903226,6.716129032258064,10.629032258064516,46.7,15.135483870967741,0.0,27108.253548387096,62.064516129032256,TURBACZ
2022,11,7.5233333333333325,0.11000000000000006,3.433333333333333,39.1,12.143333333333334,8.12,16009.492999999999,76.46666666666667,TURBACZ
2022,12,2.7419354838709675,-3.2193548387096773,-0.20000000000000004,83.60000000000001,15.406451612903227,39.760000000000005,12503.047741935483,88.03225806451613,TURBACZ
2023,1,3.2193548387096773,-0.8483870967741935,1.1290322580645162,101.8,17.048387096774192,52.85,9177.531612903225,92.45161290322581,TURBACZ
2023,2,2.3428571428571425,-4.55,-1.0,97.9,17.42142857142857,48.93,13976.615357142857,85.07142857142857,TURBACZ
2023,3,8.46774193548387,-0.5064516129032257,3.635483870967742,65.2,19.135483870967743,20.16,25133.309677419355,77.74193548387096,TURBACZ
2023,4,9.756666666666666,1.2233333333333334,5.45,68.0,15.4,14.42,23935.192666666666,82.16666666666667,TURBACZ
2023,5,15.896774193548387,6.306451612903226,11.209677419354838,93.7,15.067741935483872,0.0,34673.39806451613,68.35483870967742,TURBACZ
2023,6,19.766666666666666,10.47,15.413333333333332,112.0,13.54,0.0,39032.09533333334,62.9,TURBACZ
2023,7,23.070967741935487,12.735483870967743,18.070967741935487,106.0,15.167741935483871,0.0,42108.68806451613,57.483870967741936,TURBACZ
2023,8,23.629032258064516,13.96774193548387,18.629032258064516,109.0,13.429032258064517,0.0,35804.86612903226,60.96774193548387,TURBACZ
2023,9,21.436666666666667,11.136666666666667,16.029999999999998,66.4,12.766666666666667,0.0,32346.819666666666,47.46666666666667,TURBACZ
2023,10,15.23225806451613,6.974193548387096,11.064516129032258,91.2,18.629032258064516,2.1,24075.43322580645,75.12903225806451,TURBACZ
2023,11,5.766666666666667,0.30000000000000004,3.1633333333333336,94.5,20.30666666666667,20.93,11465.161333333333,78.33333333333333,TURBACZ
2023,12,2.9129032258064513,-2.396774193548387,0.17419354838709677,96.5,17.37741935483871,50.4,10518.708709677421,85.83870967741936,TURBACZ
2024,1,2.070967741935484,-4.087096774193548,-1.1741935483870967,110.7,19.538709677419355,48.86,11299.709032258064,77.0,TURBACZ
2024,2,8.475862068965517,1.817241379310345,5.031034482758621,78.1,18.282758620689656,8.61,13596.379310344828,88.72413793103448,TURBACZ
2024,3,10.393548387096773,1.532258064516129,5.606451612903226,44.6,16.561290322580643,3.78,25728.98258064516,73.7741935483871,TURBACZ
2024,4,14.42,4.713333333333334,9.326666666666666,86.6,17.763333333333332,15.61,29809.978333333333,75.5,TURBACZ
2024,5,19.37741935483871,8.087096774193547,14.035483870967743,68.9,13.04516129032258,0.0,43143.83806451613,57.12903225806452,TURBACZ
2024,6,21.833333333333332,12.113333333333333,17.273333333333333,158.6,13.42,0.0,39883.833333333336,68.9,TURBACZ
2024,7,24.299999999999997,14.580645161290322,19.448387096774194,85.1,13.887096774193548,0.0,43821.75548387096,58.83870967741935,TURBACZ
2024,8,24.677419354838708,14.216129032258063,19.23548387096774,81.6,12.283870967741937,0.0,36572.58451612903,57.25806451612903,TURBACZ
2024,9,20.243333333333332,10.41,15.186666666666667,112.6,15.356666666666666,0.0,29366.19366666667,58.56666666666667,TURBACZ
2024,10,14.05483870967742,4.603225806451612,8.851612903225806,49.199999999999996,13.135483870967741,0.28,23035.927741935484,61.16129032258065,TURBACZ
2024,11,6.046666666666667,-1.4533333333333334,1.7933333333333332,37.8,14.786666666666667,14.7,15645.630666666666,73.06666666666666,TURBACZ
2024,12,3.670967741935484,-2.0516129032258066,0.39354838709677425,31.5,14.245161290322581,13.02,11404.339677419353,74.54838709677419,TURBACZ
